4843235.565	570758.5426	4/23/10 9:27	100002	111.6
4843233.714	570757.8938	4/23/10 9:27	100003	102.5
4843233.714	570757.8938	4/23/10 9:27	100004	110.5
4843232.967	570757.636	4/23/10 9:27	100005	115.4
4843232.235	570757.7726	4/23/10 9:27	100006	110.3
4843231.118	570758.1871	4/23/10 9:27	100007	93.1
4843230.197	570758.3338	4/23/10 9:27	100008	105
4843229.832	570758.4745	4/23/10 9:27	100009	102
4843229.645	570758.6054	4/23/10 9:27	100010	106.9
4843227.614	570759.8349	4/23/10 9:27	100011	105.1
4843226.329	570760.1224	4/23/10 9:27	100012	98.2
4843225.413	570760.6636	4/23/10 9:27	100013	88.7
4843225.958	570760.7948	4/23/10 9:27	100014	62.03
4843225.791	570761.7388	4/23/10 9:27	100015	61.08
4843223.941	570762.2899	4/23/10 9:27	100016	55.94
4843223.389	570762.5696	4/23/10 9:27	100017	44.96
4843222.473	570763.1108	4/23/10 9:27	100018	47.4
4843221.374	570764.2017	4/23/10 9:27	100019	27.49
4843219.138	570762.8804	4/23/10 9:27	100020	45.71
4843218.583	570762.8863	4/23/10 9:27	100021	42.79
4843217.479	570763.5665	4/23/10 9:27	100022	44.22
4843216.923	570763.4435	4/23/10 9:27	100023	51.19
4843215.819	570764.1237	4/23/10 9:27	100024	43.47
4843215.265	570764.2664	4/23/10 9:28	100025	50.38
4843214.525	570764.677	4/23/10 9:28	100026	54.17
4843213.798	570765.2162	4/23/10 9:28	100027	54.44
4843212.131	570766.1761	4/23/10 9:28	100028	56.48
4843209.748	570767.6752	4/23/10 9:28	100029	52.95
4843209.195	570767.9549	4/23/10 9:28	100030	50.38
4843207.7	570767.2943	4/23/10 9:28	100031	51.87
4843205.868	570768.3928	4/23/10 9:28	100032	47.94
4843204.03	570770.023	4/23/10 9:28	100033	41.71
4843203.457	570768.4184	4/23/10 9:28	100034	38.46
4843203.098	570769.0907	4/23/10 9:28	100035	38.46
4843202.909	570769.0927	4/23/10 9:28	100036	43.07
4843199.048	570771.5497	4/23/10 9:28	100037	40.63
4843199.789	570771.276	4/23/10 9:28	100038	17.33
4843200.53	570770.9944	4/23/10 9:28	100039	0.121
4843199.228	570770.7424	4/23/10 9:28	100040	18.41
4843197.945	570771.2956	4/23/10 9:28	100041	31.28
4843196.466	570772.1166	4/23/10 9:28	100042	40.36
4843195.91	570772.1225	4/23/10 9:28	100043	31.14
4843196.093	570771.581	4/23/10 9:28	100044	42.93
4843195.349	570771.5889	4/23/10 9:28	100045	46.99
4843194.24	570771.7376	4/23/10 9:28	100046	50.45
4843194.054	570772.0053	4/23/10 9:28	100047	45.77
4843194.054	570772.0053	4/23/10 9:28	100048	42.93
4843193.3	570771.071	4/23/10 9:28	100049	51.33
4843192.203	570771.3565	4/23/10 9:28	100050	42.52
4843191.854	570772.9709	4/23/10 9:28	100051	46.32
4843191.654	570772.973	4/23/10 9:28	100052	50.25
4843191.657	570773.2388	4/23/10 9:28	100053	34.4
4843190.378	570774.1946	4/23/10 9:28	100054	34.4
4843190.192	570774.4623	4/23/10 9:28	100055	43.34
4843189.827	570774.6031	4/23/10 9:28	100056	43.74
4843189.276	570775.0116	4/23/10 9:28	100057	47.67
4843187.615	570775.4319	4/23/10 9:28	100058	48.48
4843187.241	570775.8385	4/23/10 9:28	100059	55.12
4843187.241	570775.8385	4/23/10 9:28	100060	56.07
4843187.241	570775.8385	4/23/10 9:28	100061	57.43
4843187.064	570775.8404	4/23/10 9:28	100062	58.64
4843186.697	570775.8443	4/23/10 9:28	100063	61.62
4843186.318	570775.7114	4/23/10 9:28	100064	49.97
4843185.763	570775.7173	4/23/10 9:28	100065	57.29
4843184.84	570775.5902	4/23/10 9:28	100066	55.39
4843183.908	570775.737	4/23/10 9:28	100067	57.15
4843182.445	570776.0183	4/23/10 9:28	100068	61.96
4843181.695	570775.4947	4/23/10 9:28	100069	59.05
4843181.141	570775.6294	4/23/10 9:28	100070	55.53
4843178.362	570776.4643	4/23/10 9:28	100071	42.52
4843176.332	570776.7596	4/23/10 9:28	100072	37.92
4843175.425	570777.035	4/23/10 9:28	100073	35.89
4843174.308	570777.5864	4/23/10 9:28	100074	24.78
4843174.142	570779.7304	4/23/10 9:28	100075	12.86
4843173.591	570780.1389	4/23/10 9:28	100076	13.94
4843173.594	570780.4127	4/23/10 9:28	100077	23.83
4843173.063	570781.6264	4/23/10 9:28	100078	13.94
4843173.819	570783.7606	4/23/10 9:28	100079	10.69
4843172.16	570784.4547	4/23/10 9:28	100080	0.121
4843170.144	570786.0868	4/23/10 9:28	100081	0.121
4843165.885	570786.6635	4/23/10 9:28	100082	14.35
4843164.418	570787.6213	4/23/10 9:28	100083	15.84
4843163.699	570788.9739	4/23/10 9:28	100084	22.07
4843163.873	570788.5694	4/23/10 9:28	100085	18.68
4843164.782	570787.3517	4/23/10 9:28	100086	20.17
4843164.593	570787.3537	4/23/10 9:28	100087	11.23
4843164.228	570787.4864	4/23/10 9:28	100088	15.16
4843162.761	570788.4443	4/23/10 9:28	100089	0.121
4843158.68	570788.0849	4/23/10 9:28	100090	0.121
4843156.838	570788.2413	4/23/10 9:28	100091	0.121
4843152.765	570788.5503	4/23/10 9:28	100092	15.02
4843149.628	570789.1232	4/23/10 9:28	100093	8.11
4843148.158	570789.8072	4/23/10 9:28	100094	22.34
4843147.032	570789.4165	4/23/10 9:28	100095	18
4843146.854	570789.4184	4/23/10 9:28	100096	25.39
4843146.299	570789.4243	4/23/10 9:28	100097	31.69
4843145.378	570789.5709	4/23/10 9:29	100098	26.27
