1	30
2	41
3	32
4	32
5	39
6	30
7	29
8	29
9	31
10	31
11	28
12	29
13	32
14	28
15	31
16	38
17	26
18	31
19	27
20	25
21	25
22	29
23	28
24	25
25	27
26	25
27	26
28	26
29	27
30	24
31	24
32	25
33	33
34	39
35	31
36	30
37	25
38	26
39	30
40	28
41	28
42	28
43	31
44	28
45	31
46	27
47	31
48	30
49	23
50	30
51	29
52	32
53	24
54	22
55	30
56	22
57	29
58	25
59	23
60	25
61	25
62	23
63	30
64	29
65	35
66	28
67	30
68	29
69	29
70	25
71	25
72	22
73	30
74	26
75	25
76	29
77	27
78	24
79	30
80	28
81	30
82	29
83	32
84	34
85	34
86	33
87	36
88	40
89	30
90	15
91	23
92	33
93	47
94	47
95	49
96	25
97	21
98	18
99	20
100	30
101	16
102	26
103	23
104	23
105	23
106	14
107	22
108	23
109	37
110	31
111	35
112	25
113	26
114	25
115	24
116	32
117	42
118	28
119	28
120	32
121	34
122	29
123	35
124	28
125	25
126	26
127	21
128	29
129	31
130	27
131	23
132	30
133	32
134	31
135	50
136	58
137	37
138	33
139	27
140	27
141	33
142	44
143	37
144	37
145	31
146	25
147	24
148	25
149	30
150	30
151	28
152	29
153	29
154	30
155	34
156	29
157	25
158	28
159	31
160	22
161	31
162	35
163	28
164	28
165	23
166	22
167	35
168	25
169	24
170	25
171	21
172	23
173	30
174	30
175	26
176	25
177	30
178	32
179	35
180	29
181	29
182	26
183	30
184	27
185	34
186	32
187	33
188	31
189	34
190	32
191	36
192	31
193	27
194	27
195	31
196	37
197	32
198	39
199	40
200	35
201	30
202	27
203	34
204	32
205	36
206	31
207	25
208	22
209	22
210	27
211	25
212	29
213	33
214	33
215	25
216	26
217	32
218	32
219	29
220	29
221	31
222	31
223	44
224	30
225	36
226	35
227	37
228	41
229	34
230	31
231	31
232	32
233	45
234	39
235	37
236	34
237	31
238	31
239	38
240	34
241	36
242	38
243	38
244	34
245	34
246	37
247	39
248	41
249	39
250	37
251	42
252	45
253	42
254	41
255	40
256	40
257	44
258	41
259	42
260	41
261	47
262	45
263	43
264	39
265	45
266	43
267	45
268	43
269	42
270	39
271	36
272	37
273	40
274	38
275	37
276	32
277	39
278	40
279	35
280	34
281	35
282	32
283	33
284	30
285	37
286	35
287	37
288	24
289	35
290	45
291	35
292	39
293	14
294	39
295	26
296	29
297	32
298	37
299	33
300	29
